Datetime,kwh
13-02-2020 18:00,0.3273
13-02-2020 19:00,0.4511
13-02-2020 20:00,0.3382
13-02-2020 21:00,0.2643
13-02-2020 22:00,0.1681
13-02-2020 23:00,0.0308
14-02-2020 00:00,0.1316
14-02-2020 01:00,0.1144
14-02-2020 02:00,0.126
14-02-2020 03:00,0.1285
14-02-2020 04:00,0.1311
14-02-2020 05:00,0.0848
14-02-2020 06:00,0.0967
14-02-2020 07:00,0.0033
14-02-2020 08:00,0.149
14-02-2020 09:00,0.109
14-02-2020 10:00,0.1488
14-02-2020 11:00,0.4522
14-02-2020 12:00,0.2919
14-02-2020 13:00,0.1169
14-02-2020 14:00,0.1744
14-02-2020 15:00,0.188
14-02-2020 16:00,0.1832
14-02-2020 17:00,0.2394
14-02-2020 18:00,0.2683
14-02-2020 19:00,0.2802
14-02-2020 20:00,0.2549
14-02-2020 21:00,0.1
14-02-2020 22:00,0.1072
14-02-2020 23:00,0.1259
15-02-2020 00:00,0.0696
15-02-2020 01:00,0.0683
15-02-2020 02:00,0.0821
15-02-2020 03:00,0.0744
15-02-2020 04:00,0.0565
15-02-2020 05:00,0.0675
15-02-2020 06:00,0.0726
15-02-2020 07:00,0.082
15-02-2020 08:00,0.1259
15-02-2020 09:00,0.2785
15-02-2020 10:00,0.2565
15-02-2020 11:00,0.0962
15-02-2020 12:00,0.1633
15-02-2020 13:00,0.151
15-02-2020 14:00,0.1603
15-02-2020 15:00,0.2333
15-02-2020 16:00,0.2132
15-02-2020 17:00,0.2226
15-02-2020 18:00,0.2262
15-02-2020 19:00,0.279
15-02-2020 20:00,0.1251
15-02-2020 21:00,0.1102
15-02-2020 22:00,0.1042
15-02-2020 23:00,0.0991
16-02-2020 00:00,0.0825
16-02-2020 01:00,0.062
16-02-2020 02:00,0.0693
16-02-2020 03:00,0.0956
16-02-2020 04:00,0.0965
16-02-2020 05:00,0.076
16-02-2020 06:00,0.1051
16-02-2020 07:00,0.0997
16-02-2020 08:00,0.0367
16-02-2020 09:00,0.1116
16-02-2020 10:00,0.1206
16-02-2020 11:00,0.0874
16-02-2020 12:00,0.3769
16-02-2020 13:00,0.1783
16-02-2020 14:00,0.1014
16-02-2020 15:00,0.1283
16-02-2020 16:00,0.2412
16-02-2020 17:00,0.269
16-02-2020 18:00,0.2895
16-02-2020 19:00,0.2858
16-02-2020 20:00,0.3385
16-02-2020 21:00,0.3194
16-02-2020 22:00,0.2192
16-02-2020 23:00,0.1248
17-02-2020 00:00,0.0555
